"vesselCode","opeID","Gear","Subarea","Target","fishopSetStartDate","fishopSetStartLatitude","fishopSetStartLongitude","StartDepth","fishopSetEndDate","fishopSetEndLatitude","fishopSetEndLongitude","EndDepth","fishopHaulStartDate","fishopHaulEndDate","HooksSet","HooksLost","speciesFAOCode","speciesScientificName","speciesEnglishName","Catch_Kg","src","datasetID","Soaktime","Season","MU","Weigth"
10668,"H53188","Set longlines","3b","TOP",2021-11-17 22:20:00,-44.6816666666667,45.39,1690,2021-11-17 22:50:00,-44.705,45.43,1670,NA,NA,2996,FALSE,"TOP","Dissostichus eleginoides","Patagonian toothfish",1389,"HBH",181,4.69444444444525,2021,"DC",NA
10668,"H53189","Set longlines","3b","TOP",2021-11-17 22:15:00,-44.74,45.4883333333333,1665,2021-11-17 23:40:00,-44.7616666666667,45.5266666666667,1655,NA,NA,2958,TRUE,"TOP","Dissostichus eleginoides","Patagonian toothfish",1369,"HBH",181,4.44444444444525,2021,"DC",41.653070288267
10668,"H53190","Set longlines","3b","TOP",2021-11-18 06:05:00,-44.8466666666667,45.75,1631,2021-11-18 06:40:00,-44.8466666666667,45.7016666666667,1639,NA,NA,2919,TRUE,"TOP","Dissostichus eleginoides","Patagonian toothfish",1103,"HBH",181,5.24652777777374,2021,"DC",26.1571492779451
10668,"H53191","Set longlines","3b","TOP",2021-11-18 07:05:00,-44.8466666666667,45.6266666666667,1645,2021-11-18 07:40:00,-44.8466666666667,45.5783333333333,1651,NA,NA,2963,TRUE,"TOP","Dissostichus eleginoides","Patagonian toothfish",1143,"HBH",181,5.44444444444525,2021,"DC",NA
10668,"H53192","Set longlines","3b","TOP",2021-11-19 05:25:00,-44.9133333333333,44.7883333333333,1276,2021-11-19 06:00:00,-44.9333333333333,44.8316666666667,1261,NA,NA,2935,TRUE,"TOP","Dissostichus eleginoides","Patagonian toothfish",726,"HBH",181,5.10416666666424,2021,"DC",NA
10668,"H53193","Set longlines","3b","TOP",2021-11-19 06:20:00,-44.965,44.89,1300,2021-11-19 06:45:00,-44.985,44.93,1345,NA,NA,2961,TRUE,"TOP","Dissostichus eleginoides","Patagonian toothfish",726,"HBH",181,4.8840277777781,2021,"DC",NA
10668,"H53194","Set longlines","3b","TOP",2021-11-19 07:55:00,-44.9866666666667,44.7966666666667,1292,2021-11-19 08:25:00,-44.9683333333333,44.7533333333333,1309,NA,NA,2961,FALSE,"TOP","Dissostichus eleginoides","Patagonian toothfish",891,"HBH",181,5.35069444444525,2021,"DC",NA
10668,"H53195","Set longlines","3b","TOP",2021-11-19 08:40:00,-44.9416666666667,44.6916666666667,1445,2021-11-19 09:25:00,-44.9233333333333,44.6516666666667,1480,NA,NA,2994,FALSE,"TOP","Dissostichus eleginoides","Patagonian toothfish",697,"HBH",181,5.11805555555475,2021,"DC",18.9301578843395
10668,"H53196","Set longlines","3b","TOP",2021-11-19 21:00:00,-44.8983333333333,44.2833333333333,1238,2021-11-19 21:24:00,-44.9,44.2333333333333,1233,NA,NA,2981,TRUE,"TOP","Dissostichus eleginoides","Patagonian toothfish",598,"HBH",181,5.22083333333285,2021,"DC",NA
10668,"H53197","Set longlines","3b","TOP",2021-11-19 22:00:00,-44.9016666666667,44.16,1204,2021-11-19 22:32:00,-44.9033333333333,44.115,1194,NA,NA,2863,TRUE,"TOP","Dissostichus eleginoides","Patagonian toothfish",863,"HBH",181,5.35972222222335,2021,"DC",NA
10668,"H53198","Set longlines","3b","TOP",2021-11-20 11:30:00,-44.9816666666667,43.6233333333333,1410,2021-11-20 11:55:00,-44.965,43.6566666666667,1384,NA,NA,2840,TRUE,"TOP","Dissostichus eleginoides","Patagonian toothfish",502,"HBH",181,5.27430555555475,2021,"DC",NA
10668,"H53199","Set longlines","3b","TOP",2021-11-20 12:20:00,-44.94,43.7233333333333,1338,2021-11-20 12:50:00,-44.9233333333333,43.76,1306,NA,NA,2825,TRUE,"TOP","Dissostichus eleginoides","Patagonian toothfish",570,"HBH",181,5.04861111111677,2021,"DC",NA
10668,"H53200","Set longlines","3b","TOP",2021-11-20 20:25:00,-44.8983333333333,43.9316666666667,1202,2021-11-20 20:50:00,-44.8666666666667,43.89,1261,NA,NA,2936,TRUE,"TOP","Dissostichus eleginoides","Patagonian toothfish",460,"HBH",181,5.27083333333576,2021,"DC",NA
10668,"H53201","Set longlines","3b","TOP",2021-11-20 21:20:00,-44.8216666666667,43.87,1402,2021-11-20 21:40:00,-44.7916666666667,43.8483333333333,1486,NA,NA,2968,FALSE,"TOP","Dissostichus eleginoides","Patagonian toothfish",668,"HBH",181,5.04513888888323,2021,"DC",NA
10668,"H53202","Set longlines","3b","TOP",2021-11-20 22:10:00,-44.77,43.9366666666667,1432,2021-11-20 22:30:00,-44.7483333333333,43.9716666666667,1444,NA,NA,2975,TRUE,"TOP","Dissostichus eleginoides","Patagonian toothfish",530,"HBH",181,5.64930555555475,2021,"DC",NA
10668,"H53203","Set longlines","3b","TOP",2021-11-20 22:55:00,-44.7116666666667,44.0283333333333,1425,2021-11-20 23:22:00,-44.6866666666667,44.0666666666667,1423,NA,NA,2971,TRUE,"TOP","Dissostichus eleginoides","Patagonian toothfish",755,"HBH",181,5.38749999999709,2021,"DC",NA
10668,"H53204","Set longlines","3b","TOP",2021-11-22 02:15:00,-44.195,44.875,1702,2021-11-22 02:42:00,-44.195,44.8216666666667,1547,NA,NA,2972,TRUE,"TOP","Dissostichus eleginoides","Patagonian toothfish",629,"HBH",181,5.30069444444234,2021,"DC",NA
10668,"H53205","Set longlines","3b","TOP",2021-11-22 03:10:00,-44.195,44.7516666666667,1500,2021-11-22 03:40:00,-44.195,44.7016666666667,1548,NA,NA,2921,FALSE,"TOP","Dissostichus eleginoides","Patagonian toothfish",1732,"HBH",181,5.05555555555475,2021,"DC",NA
10668,"H53206","Set longlines","3b","TOP",2021-11-22 04:10:00,-44.2516666666667,44.6966666666667,1310,2021-11-22 04:30:00,-44.2516666666667,44.7483333333333,1281,NA,NA,2899,TRUE,"TOP","Dissostichus eleginoides","Patagonian toothfish",793,"HBH",181,5.52083333333576,2021,"DC",NA
10668,"H53207","Set longlines","3b","TOP",2021-11-22 05:50:00,-44.2516666666667,44.8233333333333,1368,2021-11-22 05:20:00,-44.2516666666667,44.875,1602,NA,NA,2904,TRUE,"TOP","Dissostichus eleginoides","Patagonian toothfish",1286,"HBH",181,5.75,2021,"DC",NA
10668,"H53208","Set longlines","3b","TOP",2021-11-22 21:20:00,-44.7133333333333,45.5466666666667,1663,2021-11-22 21:50:00,-44.7133333333333,45.5966666666667,1656,NA,NA,2924,FALSE,"TOP","Dissostichus eleginoides","Patagonian toothfish",562,"HBH",181,5.54861111111677,2021,"DC",13.4582568332636
10668,"H53209","Set longlines","3b","TOP",2021-11-22 22:15:00,-44.7133333333333,45.6716666666667,1648,2021-11-22 22:45:00,-44.7133333333333,45.7183333333333,1643,NA,NA,2911,TRUE,"TOP","Dissostichus eleginoides","Patagonian toothfish",445,"HBH",181,5.72222222222626,2021,"DC",NA
10668,"H53210","Set longlines","3b","TOP",2021-11-23 10:30:00,-44.7666666666667,45.64,1640,2021-11-23 10:58:00,-44.7666666666667,45.6916666666667,1664,NA,NA,2927,TRUE,"TOP","Dissostichus eleginoides","Patagonian toothfish",197,"HBH",181,5.76875000000291,2021,"DC",NA
10668,"H53211","Set longlines","3b","TOP",2021-11-23 11:20:00,-44.7666666666667,45.7666666666667,1627,2021-11-23 11:50:00,-44.7666666666667,45.815,1626,NA,NA,2898,FALSE,"TOP","Dissostichus eleginoides","Patagonian toothfish",443,"HBH",181,5.50694444444525,2021,"DC",NA
10668,"H53212","Set longlines","3b","TOP",2021-11-23 22:55:00,-44.8733333333333,45.74,1636,2021-11-23 23:25:00,-44.8733333333333,45.6916666666667,1646,NA,NA,2894,TRUE,"TOP","Dissostichus eleginoides","Patagonian toothfish",115,"HBH",181,6.21180555555475,2021,"DC",NA
10668,"H53213","Set longlines","3b","TOP",2021-11-23 23:45:00,-44.8733333333333,45.69,1648,2021-11-24 00:15:00,-44.8733333333333,45.5716666666667,1656,NA,NA,2904,TRUE,"TOP","Dissostichus eleginoides","Patagonian toothfish",100,"HBH",181,6.40277777778101,2021,"DC",NA
10668,"H53214","Set longlines","3b","TOP",2021-11-24 21:30:00,-44.9916666666667,45.0666666666667,1502,2021-11-24 22:00:00,-44.9916666666667,45.025,1437,NA,NA,2894,TRUE,"TOP","Dissostichus eleginoides","Patagonian toothfish",340,"HBH",181,4.71180555555475,2021,"DC",NA
10668,"H53215","Set longlines","3b","TOP",2021-11-24 22:20:00,-44.9916666666667,44.9483333333333,1370,2021-11-24 22:55:00,-44.9916666666667,44.9033333333333,1326,NA,NA,2812,FALSE,"TOP","Dissostichus eleginoides","Patagonian toothfish",336,"HBH",181,4.89930555555475,2021,"DC",NA
10668,"H53216","Set longlines","3b","TOP",2021-11-24 23:20:00,-44.99,44.805,1275,2021-11-24 23:45:00,-44.9883333333333,44.755,1315,NA,NA,2906,TRUE,"TOP","Dissostichus eleginoides","Patagonian toothfish",449,"HBH",181,5.91319444444525,2021,"DC",NA
10668,"H53217","Set longlines","3b","TOP",2021-11-25 00:05:00,-44.9883333333333,44.68,1412,2021-11-25 00:45:00,-44.9883333333333,44.63,1552,NA,NA,2912,TRUE,"TOP","Dissostichus eleginoides","Patagonian toothfish",552,"HBH",181,6.01736111110949,2021,"DC",NA
10668,"H53218","Set longlines","3b","TOP",2021-11-25 10:05:00,-44.9666666666667,44.295,1144,2021-11-25 10:35:00,-44.9583333333333,44.2483333333333,1148,NA,NA,2049,FALSE,"TOP","Dissostichus eleginoides","Patagonian toothfish",255,"HBH",181,5.80902777778101,2021,"DC",13.731349048961
10668,"H53219","Set longlines","3b","TOP",2021-11-25 11:00:00,-44.955,44.1733333333333,1165,2021-11-25 11:30:00,-44.9566666666667,44.125,1144,NA,NA,2912,TRUE,"TOP","Dissostichus eleginoides","Patagonian toothfish",383,"HBH",181,5.90277777778101,2021,"DC",NA
